"NAME";"Kod";"global_id";"KC";
"Аналитики систем управления и организации";"2421";"62854902";"9";
"Специалисты в области политики администрирования";"2422";"62854903";"2";
"Специалисты в области подбора и использования персонала";"2423";"62854904";"6";
"Специалисты в области подготовки и развития персонала";"2424";"62854905";"1";
"Специалисты органов государственной власти";"2425";"62854906";"3";
"Специалисты по сбыту и маркетингу продукции и услуг и связям с общественностью";"243";"62854907";"8";
"Специалисты по рекламе и маркетингу";"2431";"62854908";"1";
"Специалисты по связям с общественностью";"2432";"62854909";"5";
"Специалисты по сбыту продукции (исключая информационно-коммуникационные технологии)";"2433";"62854910";"9";
"Специалисты по сбыту информационно-коммуникационных технологий (ИКТ)";"2434";"62854911";"2";
"Специалисты по информационно-коммуникационным технологиям (ИКТ)";"25";"62854912";"1";
"Разработчики и аналитики программного обеспечения и приложений";"251";"62854913";"4";
"Системные аналитики";"2511";"62854914";"8";
"Разработчики программного обеспечения";"2512";"62854915";"1";
"Разработчики Web и мультимедийных приложений";"2513";"62854916";"5";
"Программисты приложений";"2514";"62854917";"9";
"Разработчики и аналитики программного обеспечения и приложений, не входящие в другие группы";"2519";"62854918";"7";
"Специалисты по базам данных и сетям";"252";"62854919";"7";
"Дизайнеры баз данных и администраторы";"2521";"62854920";"0";
"Системные администраторы";"2522";"62854921";"4";
"Специалисты по компьютерным сетям";"2523";"62854922";"8";
"Специалисты по базам данных и сетям, не входящие в другие группы";"2529";"62854923";"2";
"Специалисты в области права, гуманитарных областей и культуры";"26";"62854924";"3";
"Специалисты в области права";"261";"62854925";"6";
"Юристы";"2611";"62854926";"8";
"Судьи";"2612";"62854927";"3";
"Специалисты по патентной работе и защите авторских прав";"2613";"62854928";"7";
"Специалисты в области права, не входящие в другие группы";"2619";"62854929";"9";
"Специалисты архивов, музеев и библиотек";"262";"62854930";"9";
"Специалисты архивов и музеев";"2621";"62854931";"2";
"Специалисты библиотек";"2622";"62854932";"6";
"Специалисты гуманитарной сферы и религии";"263";"62854933";"1";
"Экономисты";"2631";"62854934";"5";
"Социологи, антропологи и специалисты родственных занятий";"2632";"62854935";"9";
"Философы, историки и политологи";"2633";"62854936";"2";
"Психологи";"2634";"62854937";"6";
"Специалисты в области организации и ведения социальной работы";"2635";"62854938";"9";
"Религиозные деятели";"2636";"62854939";"3";
"Писатели, журналисты и лингвисты";"264";"62854940";"4";
"Писатели, поэты и другие литераторы";"2641";"62854941";"8";
"Журналисты";"2642";"62854942";"1";
"Переводчики и другие лингвисты";"2643";"62854943";"5";
"Художники и артисты";"265";"62854944";"7";
"Художники";"2651";"62854945";"0";
"Музыканты, певцы и композиторы";"2652";"62854946";"4";
"Танцоры и хореографы";"2653";"62854947";"8";
"Режиссеры кино, театра и родственные им деятели искусства и продюсеры";"2654";"62854948";"1";
"Актеры";"2655";"62854949";"5";
"Дикторы радио, телевидения и других средств массовой информации";"2656";"62854950";"9";
"Деятели искусств, не входящие в другие группы";"2659";"62854951";"0";
"СПЕЦИАЛИСТЫ СРЕДНЕГО УРОВНЯ КВАЛИФИКАЦИИ";"3";"62854952";"";
"Специалисты-техники в области науки и техники";"31";"62854953";"5";
"Техники в области физических и технических наук";"311";"62854954";"8";
"Техники в области химических и физических наук";"3111";"62854955";"1";
"Техники по гражданскому строительству";"3112";"62854956";"5";
"Техники-электрики";"3113";"62854957";"9";
"Техники-электроники";"3114";"62854958";"2";
"Техники-механики";"3115";"62854959";"6";
"Техники в химическом производстве";"3116";"62854960";"0";
"Техники в добывающей промышленности и металлургии";"3117";"62854961";"3";
"Чертежники";"3118";"62854962";"7";
"Техники в области физических и технических наук, не входящие в другие группы";"3119";"62854963";"0";
"Мастера (бригадиры) на производстве и в строительстве";"312";"62854964";"0";
"Мастера (бригадиры) в добывающей промышленности";"3121";"62854965";"4";
"Мастера (бригадиры) в обрабатывающей промышленности";"3122";"62854966";"8";
"Мастера (бригадиры) в строительстве";"3123";"62854967";"1";
"Техники (операторы) по управлению технологическими процессами";"313";"62854968";"3";
"Операторы установок по выработке электроэнергии";"3131";"62854969";"7";
"Операторы мусоросжигательных печей, очистных сооружений и аналогичного оборудования";"3132";"62854970";"0";
"Операторы по управлению технологическими процессами в химическом производстве";"3133";"62854971";"4";
"Операторы нефте- и газоочистных и перерабатывающих установок";"3134";"62854972";"8";
"Операторы технологических процессов производства металла";"3135";"62854973";"1";
"Техники (операторы) по управлению технологическими процессами, не входящие в другие группы";"3139";"62854974";"6";
"Средний специальный персонал в биологии, сельском и лесном хозяйстве";"314";"62854975";"6";
"Специалисты-техники в области биологических исследований (за исключением среднего медицинского персонала)";"3141";"62854976";"6";
"Средний специальный персонал в сельском хозяйстве";"3142";"62854977";"3";
"Специалисты-техники по лесному хозяйству и лесозаготовительному производству";"3143";"62854978";"7";
"Специалисты-техники по управлению и эксплуатации водных и воздушных судов";"315";"62854979";"9";
"Судовые механики";"3151";"62854980";"2";
"Капитаны судов и лоцманы";"3152";"62854981";"6";
"Пилоты воздушных судов и специалисты родственных занятий";"3153";"62854982";"1";
"Авиационные диспетчеры";"3154";"62854983";"3";
"Техники-электроники по системам безопасности полетов";"3155";"62854984";"7";
"Средний медицинский персонал здравоохранения";"32";"62854985";"7";
"Фельдшеры, техники по обслуживанию медицинского оборудования и фармацевты";"321";"62854986";"0";
"Техники по обслуживанию медицинского оборудования";"3211";"62854987";"3";
"Фельдшеры-лаборанты медицинских и патологоанатомических лабораторий";"3212";"62854988";"7";
"Фармацевты";"3213";"62854989";"0";
"Зубные техники и техники-протезисты";"3214";"62854990";"4";
"Средний медицинский персонал по уходу и акушерству";"322";"62854991";"2";
"Средний медицинский персонал по уходу";"3221";"62854992";"6";
"Средний медицинский персонал по акушерству";"3222";"62854993";"6";
"Лекари народной медицины и целители";"323";"62854994";"5";
"Лекари народной медицины и целители";"3230";"62854995";"5";
"Ветеринарные фельдшеры";"324";"62854996";"8";
"Ветеринарные фельдшеры";"3240";"62854997";"8";
"Прочий средний медицинский персонал здравоохранения";"325";"62854998";"0";
"Зубные врачи";"3251";"62854999";"4";
"Медицинские регистраторы";"3252";"62855000";"8";
"Работники общественного здоровья";"3253";"62855001";"1";
"Медицинские оптики-оптометристы";"3254";"62855002";"5";
"Фельдшеры-физиотерапевты и другие физиотерапевты среднего уровня квалификации";"3255";"62855003";"9";
"Помощники (ассистенты) врачей";"3256";"62855004";"2";
"Инспекторы и другой средний медицинский персонал по охране труда и окружающей среды";"3257";"62855005";"6";
"Средний медицинский персонал скорой помощи";"3258";"62855006";"2";
"Средний медицинский персонал здравоохранения, не входящий в другие группы";"3259";"62855007";"3";
"Средний специальный персонал по экономической и административной деятельности";"33";"62855008";"9";
"Средний специальный персонал в сфере финансовой деятельности, учета и обработки числовой информации";"331";"62855009";"1";
"Дилеры и брокеры по продаже ценных бумаг и финансовых документов";"3311";"62855010";"5";
"Кредитные агенты";"3312";"62855011";"9";
"Помощники бухгалтеров";"3313";"62855012";"2";
"Техники-статистики и персонал родственных занятий, связанных с проведением математических расчетов и вычислений";"3314";"62855013";"6";
"Агенты по закупкам и продажам и торговые брокеры";"332";"62855014";"4";
"Страховые агенты";"3321";"62855015";"8";
"Агенты по коммерческим продажам";"3322";"62855016";"1";
"Закупщики";"3323";"62855017";"5";
"Торговые брокеры";"3324";"62855018";"9";
"Агенты по коммерческим услугам";"333";"62855019";"7";
"Агенты по таможенной очистке и сопровождению грузов и товаров";"3331";"62855020";"0";
"Организаторы конференций и других мероприятий";"3332";"62855021";"4";
"Агенты по трудовым договорам и найму";"3333";"62855022";"8";
"Агенты по операциям с недвижимостью и другой собственностью";"3334";"62855023";"1";
"Агенты по коммерческим услугам, не входящие в другие группы";"3339";"62855024";"2";
"Средний персонал, занятый в административно-управленческой деятельности";"334";"62855025";"8";
"Офис-менеджеры";"3341";"62855026";"3";
"Средний юридический персонал";"3342";"62855027";"7";
"Административный и иной исполнительный среднетехнический персонал";"3343";"62855028";"0";
"Медицинские статистики";"3344";"62855029";"4";
"Среднетехнический персонал на государственной службе";"335";"62855030";"2";
"Таможенные и пограничные инспекторы";"3351";"62855031";"6";
"Государственные служащие по налогам и акцизным сборам";"3352";"62855032";"3";
"Государственные служащие по социальному и пенсионному обеспечению";"3353";"62855033";"3";
"Государственные служащие по лицензиям";"3354";"62855034";"7";
"Инспекторы полиции и детективы";"3355";"62855035";"0";
"Среднетехнический персонал на государственной службе, не входящий в другие группы";"3359";"62855036";"5";
"Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий";"34";"62855037";"0";
"Средний специальный персонал по юридическим, социальным услугам и религии";"341";"62855038";"3";
"Средний юридический персонал в судебной, адвокатской и нотариальной деятельности";"3411";"62855039";"7";
"Социальные работники";"3412";"62855040";"0";
"Служители церкви, не имеющие духовного сана";"3413";"62855041";"4";
"Работники спорта и фитнес-клубов";"342";"62855042";"6";
"Спортсмены (спортсмены высокого класса)";"3421";"62855043";"8";
"Спортивные служащие";"3422";"62855044";"3";
"Инструкторы фитнес-клубов, спортивных зон отдыха и организаторы спортивных программ";"3423";"62855045";"7";
